Date, Close/Last, Volume, Open, High, Low
01/13/2020, $1891.3, 2785844, $1891.31, $1898, $1880.8
01/10/2020, $1883.16, 2856959, $1905.37, $1906.94, $1880
01/09/2020, $1901.05, 3174962, $1909.89, $1917.82, $1895.8038
01/08/2020, $1891.97, 3511966, $1898.04, $1910.9999, $1886.4448
01/07/2020, $1906.86, 4134010, $1904.5, $1913.89, $1892.0433
01/06/2020, $1902.88, 4065698, $1860, $1903.69, $1860
01/03/2020, $1874.97, 3766604, $1864.5, $1886.1965, $1864.5
01/02/2020, $1898.01, 4035910, $1875, $1898.01, $1864.15
12/31/2019, $1847.84, 2510380, $1842, $1853.26, $1832.23
12/30/2019, $1846.89, 3677306, $1874, $1884, $1840.62
12/27/2019, $1869.8, 6188754, $1882.92, $1901.4, $1866.01
12/26/2019, $1868.77, 6024608, $1801.01, $1870.46, $1799.5
12/24/2019, $1789.21, 881337, $1793.81, $1795.57, $1787.575
12/23/2019, $1793, 2137493, $1788.26, $1793, $1784.51
12/20/2019, $1786.5, 5152460, $1799.615, $1802.97, $1782.45
12/19/2019, $1792.28, 2738320, $1780.5, $1792.99, $1774.06
12/18/2019, $1784.03, 3354137, $1795.02, $1798.2, $1782.36
12/17/2019, $1790.66, 3646697, $1778.01, $1792, $1777.39
12/16/2019, $1769.21, 3149345, $1767, $1769.5, $1757.05
