Date, Close/Last, Volume, Open, High, Low
1/14/2020,"$1,869.44 ",3446381,"$1,885.88 ","$1,887.11 ","$1,858.55 "
1/13/2020,"$1,891.30 ",2785844,"$1,891.31 ","$1,898 ","$1,880.80 "
1/10/2020,"$1,883.16 ",2856959,"$1,905.37 ","$1,906.94 ","$1,880 "
1/9/2020,"$1,901.05 ",3174962,"$1,909.89 ","$1,917.82 ","$1,895.80 "
1/8/2020,"$1,891.97 ",3511966,"$1,898.04 ","$1,911.00 ","$1,886.44 "
1/7/2020,"$1,906.86 ",4134010,"$1,904.50 ","$1,913.89 ","$1,892.04 "
1/6/2020,"$1,902.88 ",4065698,"$1,860 ","$1,903.69 ","$1,860 "
1/3/2020,"$1,874.97 ",3766604,"$1,864.50 ","$1,886.20 ","$1,864.50 "
1/2/2020,"$1,898.01 ",4035910,"$1,875 ","$1,898.01 ","$1,864.15 "
12/31/2019,"$1,847.84 ",2510380,"$1,842 ","$1,853.26 ","$1,832.23 "
12/30/2019,"$1,846.89 ",3677306,"$1,874 ","$1,884 ","$1,840.62 "
12/27/2019,"$1,869.80 ",6188754,"$1,882.92 ","$1,901.40 ","$1,866.01 "
12/26/2019,"$1,868.77 ",6024608,"$1,801.01 ","$1,870.46 ","$1,799.50 "
12/24/2019,"$1,789.21 ",881337,"$1,793.81 ","$1,795.57 ","$1,787.58 "
12/23/2019,"$1,793 ",2137493,"$1,788.26 ","$1,793 ","$1,784.51 "
12/20/2019,"$1,786.50 ",5152460,"$1,799.62 ","$1,802.97 ","$1,782.45 "
12/19/2019,"$1,792.28 ",2738320,"$1,780.50 ","$1,792.99 ","$1,774.06 "
12/18/2019,"$1,784.03 ",3354137,"$1,795.02 ","$1,798.20 ","$1,782.36 "
12/17/2019,"$1,790.66 ",3646697,"$1,778.01 ","$1,792 ","$1,777.39 "
12/16/2019,"$1,769.21 ",3149345,"$1,767 ","$1,769.50 ","$1,757.05 "
