Date, Close/Last, Volume, Open, High, Low
1/14/2020,$219.06 ,13315360,$221.61 ,$222.38 ,$218.63 
1/13/2020,$221.91 ,14494520,$219.60 ,$221.97 ,$219.21 
1/10/2020,$218.06 ,12127430,$219.20 ,$219.88 ,$217.42 
1/9/2020,$218.30 ,12679580,$217.54 ,$218.38 ,$216.28 
1/8/2020,$215.22 ,13492700,$213 ,$216.24 ,$212.61 
1/7/2020,$213.06 ,15111860,$212.82 ,$214.58 ,$211.75 
1/6/2020,$212.60 ,17073860,$206.70 ,$212.78 ,$206.52 
1/3/2020,$208.67 ,11197420,$207.21 ,$210.40 ,$206.95 
1/2/2020,$209.78 ,12090710,$206.75 ,$209.79 ,$206.27 
12/31/2019,$205.25 ,8962756,$204.00 ,$205.56 ,$203.60 
12/30/2019,$204.41 ,10534440,$207.86 ,$207.90 ,$203.90 
12/27/2019,$208.10 ,10287630,$208.67 ,$208.93 ,$206.59 
12/26/2019,$207.79 ,9368273,$205.57 ,$207.82 ,$205.31 
12/24/2019,$205.12 ,6046273,$206.30 ,$206.79 ,$205 
12/23/2019,$206.18 ,13353190,$206.70 ,$208.59 ,$205.68 
12/20/2019,$206.30 ,27315230,$207.48 ,$207.71 ,$203.43 
12/19/2019,$206.06 ,16808180,$202.78 ,$206.30 ,$202.51 
12/18/2019,$202.50 ,23284750,$200.09 ,$204.30 ,$200.09 
12/17/2019,$198.39 ,10177610,$198.84 ,$199 ,$196.13 
12/16/2019,$197.92 ,14922730,$195.27 ,$199.12 ,$194.81 
